food,code,sex,friends,sleep,happiness
true,false,true,false,false,5
false,false,false,false,false,0
false,false,false,false,true,3
false,false,true,false,true,4
true,true,true,false,true,9
true,true,false,false,true,8
true,false,false,false,false,4
false,false,false,true,true,4
false,false,true,true,false,2
false,true,false,false,false,1
false,false,false,false,false,0
false,false,false,true,false,1
false,false,true,false,false,1
true,false,false,false,true,7
false,false,true,false,false,1
true,false,true,false,false,5
false,true,true,true,true,6
false,true,true,false,true,5
true,false,false,true,true,8
true,false,true,false,true,8
false,false,true,false,false,1
false,false,true,false,false,1
false,false,false,false,true,3
true,true,true,true,true,10
false,false,true,true,false,2
false,false,true,true,true,5
true,true,true,false,false,6
true,true,true,true,true,10
true,true,true,true,false,7
true,true,false,true,true,9
false,true,true,false,true,5
true,false,false,true,false,5
false,true,true,true,false,3
false,false,true,false,false,1
false,true,false,true,false,2
true,true,true,true,false,7
true,false,false,false,false,4
true,true,false,false,false,5
false,true,true,true,true,6
false,false,false,false,false,0
true,true,true,false,false,6
false,false,false,false,false,0
true,false,true,false,true,8
false,false,true,false,false,1
true,false,true,false,true,8
false,false,true,false,false,1
false,true,true,false,true,5
false,false,false,false,true,3
true,false,true,true,true,9
true,false,false,false,false,4
true,true,false,true,true,9
true,false,true,true,true,9
false,false,false,false,true,3
